# _raj2000,SDSS,_dej2000
359.43225,J235743.74+003918.6,0.65517
359.31155,J235714.77-003836.6,-0.6435
359.03259,J235607.82+003258.1,0.54948
0.05327,J000012.78+010712.7,1.12021
359.23608,J235656.66-005912.2,-0.98675
359.02954,J235607.08-005459.4,-0.91652
1.62026,J000628.86-004702.9,-0.78414
358.22186,J235253.24-002256.8,-0.38246
358.4552,J235349.24-005828.0,-0.97446
2.10783,J000825.88-003631.2,-0.60867
357.77606,J235106.25+010324.1,1.05671
2.52758,J001006.62-002609.6,-0.43602
357.65176,J235036.42-010741.0,-1.12806
2.66394,J001039.34-000310.4,-0.05289
3.14043,J001233.70-000254.5,-0.04848
3.14351,J001234.44+000259.2,0.0498
356.80569,J234713.36-002848.6,-0.48018
3.43255,J001343.81-002735.7,-0.45993
356.32895,J234518.94-000849.4,-0.14706
3.72948,J001455.07+001508.1,0.25226
3.87391,J001529.74+003823.1,0.63975
3.99268,J001558.24-001812.6,-0.30351
355.8678,J234328.26-000148.6,-0.03019
4.12679,J001630.43-001602.4,-0.26735
4.22881,J001654.91-000517.6,-0.08823
355.56519,J234215.64-003745.9,-0.62943
355.49258,J234158.22-000300.4,-0.05013
4.6537,J001836.88+003930.9,0.6586
355.28235,J234107.76-010215.2,-1.03756
355.09427,J234022.62-000925.6,-0.15713
4.92365,J001941.67+002232.3,0.37565
5.04803,J002011.52+000024.6,0.00685
5.11531,J002027.67+000015.5,0.00432
5.12209,J002029.30-003317.9,-0.55499
5.10745,J002025.78+004934.8,0.82635
354.54602,J233811.04-002746.9,-0.46303
5.95543,J002349.30-001804.1,-0.30115
6.04903,J002411.76-004218.1,-0.70504
353.67007,J233440.81-002537.7,-0.42714
6.31307,J002515.13-010642.2,-1.11174
6.43634,J002544.72-000034.4,-0.00956
6.36658,J002527.98-010037.9,-1.01055
353.54135,J233409.92-010142.1,-1.02837
353.43079,J233343.39-003410.4,-0.56958
353.22095,J233253.03+011157.7,1.19938
6.98996,J002757.59-000340.6,-0.06129
7.12271,J002829.45+004651.6,0.78102
7.28372,J002908.09+001646.1,0.27949
7.35051,J002924.12+001856.8,0.31578
8.06542,J003215.70+005422.2,0.90618
8.21392,J003251.34+011310.1,1.21948
351.62961,J232631.10+005013.5,0.83708
351.55783,J232613.87+010828.2,1.14117
8.68128,J003443.50-000226.7,-0.04076
8.69258,J003446.22+000651.6,0.11436
8.81057,J003514.53+004145.5,0.69598
9.00083,J003600.20+000013.8,0.00386
8.92863,J003542.87+011301.4,1.21708
9.29834,J003711.60-000330.5,-0.0585
350.66116,J232238.68-005903.7,-0.98437
9.39919,J003735.80+001650.4,0.28069
350.46591,J232151.82-004126.7,-0.69076
9.59785,J003823.48-003628.7,-0.60798
9.61719,J003828.12+000720.8,0.12245
350.35327,J232124.79-005908.5,-0.98569
9.67945,J003843.07+003451.8,0.58106
9.82904,J003918.97-002722.6,-0.45629
9.89514,J003934.83+005135.8,0.85997
10.15773,J004037.85-001950.4,-0.33067
349.82925,J231919.02+005645.0,0.94585
349.84662,J231923.19+010733.8,1.12607
349.81186,J231914.84+010026.0,1.00724
